page	text_sha256	characters	word_tokens	english_heuristic_tokens	indonesian_heuristic_tokens	heuristic_flagged	flagged_line_count	disposition	untranslated_instructional_or_exercise_prose
126	e3ff18ba0427d5399c77a4443e679ade82e9a808c959c4d0efd806ae0a221a55	3640	344	2	108	False	0	PASS_INDONESIAN_READER_PAGE	False
127	37ac32103cf966d9457e8945bcdb727d64db1c8bb3885806d02c919e0916cc0c	2960	336	2	88	False	0	PASS_INDONESIAN_READER_PAGE	False
128	858097be71ef6ab24b2ffa2a9b35d848d50f3f70edeadf38dd57e87b86a362b1	2973	358	12	110	False	0	PASS_INDONESIAN_READER_PAGE	False
129	d38abaf3d5f87ef381a1b52b8ef527db689b0d388a1412786a8807f64a5ad3f1	2529	332	4	116	False	0	PASS_INDONESIAN_READER_PAGE	False
130	eb3ca81c75e6416335d84ca17c914cce48b82999ac8227786459b4e36a145c4f	2326	201	2	75	False	0	PASS_INDONESIAN_READER_PAGE	False
131	7d03c399bbb4d6973dc2ec688f26f1cd1cec42df3b7201b17695785e1c36aff2	1418	135	1	47	False	0	PASS_INDONESIAN_READER_PAGE	False
132	c7fe2bdb3bdeb1e94f82076c5019f79831222d8fe8196606012557ac89ef7921	2624	267	4	111	False	0	PASS_INDONESIAN_READER_PAGE	False
133	410565236c6a3e04960349f8cfb33003e11f3064e60e91009fedd7a1ff1a88d2	3177	221	6	65	False	0	PASS_INDONESIAN_READER_PAGE	False
134	112f519c417805775e11b90f0e738c9cb41dedf081bb016a55cdf4a10628f540	205	15	0	9	False	0	PASS_INDONESIAN_READER_PAGE	False
135	3d54dd3f9248379c4d4879517d4b3396df2ecc66dedb68985d02ee17912a98e6	494	58	0	24	False	0	PASS_INDONESIAN_READER_PAGE	False
136	821de5275ba672948abe62f4c7725cb4028bc74c686f6f2b989e41cbda9399cd	2654	270	3	118	False	0	PASS_INDONESIAN_READER_PAGE	False
137	7155b087dd9aef8db63aeb585c43a9c07b8844c5e500c867ae1ab49aa515d00a	2492	266	2	121	False	0	PASS_INDONESIAN_READER_PAGE	False
138	9a0d1cbb6d6c55705f2ba34a974033499e4ce1094a7da0cc592cdb9ddc5b403c	2945	205	2	77	False	0	PASS_INDONESIAN_READER_PAGE	False
139	555c42e6f48a95e0967cb212b6536ae192d68f6179e281d552a3f635699b6b4a	3185	351	1	110	False	0	PASS_INDONESIAN_READER_PAGE	False
140	2574c5e326ac219642b3820e97c603f03278367183552745e54b37af60489d9b	2533	257	1	96	False	0	PASS_INDONESIAN_READER_PAGE	False
141	ed56d4f3712b27fa3ebb78a9cf20049f153d890b5c61ed230920a80f0f225aa3	2316	230	5	66	False	0	PASS_INDONESIAN_READER_PAGE	False
142	7200104bc3358cf6d501bdf1003851567de48ccb46082d61833ca3e96a915a1a	3284	228	2	67	False	0	PASS_INDONESIAN_READER_PAGE	False
143	b7368283ad3c0ba274babadf35f02d457e1a98bbe3c6a7ab6d3b042c0718c443	2117	202	3	61	False	0	PASS_INDONESIAN_READER_PAGE	False
144	6cdcbfe9322591c5f6fedd417c59f8e73fa27b340c1b7ff024d501105d38f755	2896	259	3	127	False	0	PASS_INDONESIAN_READER_PAGE	False
145	691f0bc4a781f8cdd89c2ad6e63e61464187e0f6d77207d977924bec85657897	4050	511	5	158	False	0	PASS_INDONESIAN_READER_PAGE	False
146	fe9ff892fc0d6ecfab5e75bfaa7d21a6bbd30e698a8b3cac772d30ee4aa8a185	3211	373	10	127	False	0	PASS_INDONESIAN_READER_PAGE	False
147	f21ab85cbceab7954e69b7941ca2e45af81d1b6e17f4e6ccc195863adc44fec8	3405	395	0	156	False	0	PASS_INDONESIAN_READER_PAGE	False
148	6e8def69e96efbd3439d62b04bde9ac537d9cea00dc9bd924871a5485fc42462	2971	301	0	119	False	0	PASS_INDONESIAN_READER_PAGE	False
149	265e9e48dbb1a8bcb68eec723a3b7f42e19934b1d00a56a554e39d96178835b9	2890	284	0	104	False	0	PASS_INDONESIAN_READER_PAGE	False
150	4a12ba02200ef16a28ba8c942ec8e6560166d740f4375834d9b8359205e4bdf6	1659	180	3	63	False	0	PASS_INDONESIAN_READER_PAGE	False
151	30322b0204589ce70c3d8fa8fc9f2487f6b6dae36470aa17457daf1add1d07ff	3515	433	5	153	False	0	PASS_INDONESIAN_READER_PAGE	False
152	93b7bfe647ae74550ded8ee2281b776ae71ec6dc2e497a4c4717bfdd1afa3d34	3198	341	4	116	False	0	PASS_INDONESIAN_READER_PAGE	False
153	58de361d7d1cd109149b854574f8690be5ee207940af085470d0e8f46ed8512f	2936	262	0	63	False	0	PASS_INDONESIAN_READER_PAGE	False
154	17271c9ce081c86caef22c353ecd3739716d5b29db53ec6282b82e7297e134ff	3893	372	4	133	False	0	PASS_INDONESIAN_READER_PAGE	False
155	175012dc20787ce921f9b746874425f574edf3fed9c411f72f7be1e8e6cd0e36	3659	415	7	137	False	0	PASS_INDONESIAN_READER_PAGE	False
156	ece48a5568c0f8c5508874cae3b830f8ca388ff6a271aa9bbc57820a76b556fc	3560	374	4	153	False	0	PASS_INDONESIAN_READER_PAGE	False
157	f1f4eaf55a7b82bbeeb99ba503af65b0a66e45eff67bf3dcae03263bfe53e8de	1921	143	5	58	False	0	PASS_INDONESIAN_READER_PAGE	False
158	57a76928edc43490dfca82f578df474c309e66a744ee8f836054c585c5803206	2221	227	0	77	False	0	PASS_INDONESIAN_READER_PAGE	False
159	ee1822c35532f760e7fac23708942e916ad53646e281435681d9e61657d66fcb	3899	500	10	159	True	1	PASS_PRESERVED_BIBLIOGRAPHIC_OR_SOURCE_TITLE	False
160	45fd2acaea2ac64c1d14d6ba31e5df3713603b9a072c33a848f1a789fb4ca5c2	2230	247	5	69	False	0	PASS_INDONESIAN_READER_PAGE	False
161	64dd8faa83a16b0a9a1ce2ca3acbe3df7451427ca1ddfe3c8065ba85bfe2b205	2684	352	6	94	False	0	PASS_INDONESIAN_READER_PAGE	False
162	09a136970fe8cb2531151d6034207ea1a0e97e27d40eb7f557514c77ed1be62c	3167	368	0	108	False	0	PASS_INDONESIAN_READER_PAGE	False
163	fd595c11779270af80e7afbbcb2e0688837b969626fe0b3cd30fc7dd7771f195	3788	314	0	74	False	0	PASS_INDONESIAN_READER_PAGE	False
164	7fb6ad1cefd3126fffe72c737f58702a6c35b3e0b9210af285b8497b2bfcd937	3550	321	0	77	False	0	PASS_INDONESIAN_READER_PAGE	False
165	8c866a0f33499463163d99e3b4fb6f9879473b34b803d40b704a6a0ff36b6ee9	1588	193	2	49	False	0	PASS_INDONESIAN_READER_PAGE	False
166	d081147f3ecef52d5ccd1df585a66359ee6e19e51a665b2fdb95fd6c2a6a844e	3055	366	9	98	False	0	PASS_INDONESIAN_READER_PAGE	False
167	a50c3ce5ade184939c9d1b0116e3c75cec9f3960f64ef3d576e324a870caa062	2793	291	0	98	False	0	PASS_INDONESIAN_READER_PAGE	False
